vote_threshold,up_threshold,sharpe_ratio,total_pnl,hit_rate,trading_frequency,total_trades,runtime_seconds
0.5,0.0,0.798,225.71,0.57,0.867,6251,12.385718822479248
0.5,0.05,0.891,223.02,0.547,0.715,5153,12.331605672836304
0.5,0.1,0.892,179.08,0.519,0.555,3999,12.10746169090271
0.5,0.15,0.732,99.52,0.513,0.264,1906,11.763638734817505
0.5,0.2,1.184,122.17,0.534,0.145,1043,11.425268173217773
0.5,0.25,1.184,84.24,0.508,0.077,555,11.389996528625488
0.5,0.3,3.677,0.82,0.333,0.0,3,11.234351396560669
0.6,0.0,0.839,220.68,0.573,0.797,5746,12.298731327056885
0.6,0.05,0.942,209.14,0.55,0.605,4365,12.44361138343811
0.6,0.1,0.824,132.17,0.526,0.394,2844,12.093128442764282
0.6,0.15,1.017,124.53,0.544,0.174,1257,11.505037784576416
0.6,0.2,1.06,62.31,0.529,0.071,514,11.58117127418518
0.6,0.25,0.764,22.35,0.5,0.022,158,11.61433744430542
0.6,0.3,0.764,22.35,0.5,0.022,158,10.690197944641113
0.7,0.0,0.984,227.81,0.577,0.681,4913,12.420534372329712
0.7,0.05,0.816,151.91,0.55,0.467,3369,12.11574912071228
0.7,0.1,0.779,107.34,0.551,0.238,1718,11.756212711334229
0.7,0.15,0.886,67.11,0.566,0.09,647,11.656809329986572
0.7,0.2,1.081,18.02,0.574,0.016,115,11.329424858093262
0.7,0.25,-0.829,-1.81,0.2,0.002,15,11.271843910217285
0.7,0.3,-0.829,-1.81,0.2,0.002,15,10.608036756515503
0.8,0.0,0.884,189.25,0.577,0.54,3894,12.28294324874878
0.8,0.05,0.794,116.01,0.568,0.267,1927,11.82797122001648
0.8,0.1,0.734,89.93,0.566,0.135,976,11.721495389938354
0.8,0.15,1.314,25.6,0.62,0.023,163,11.462870359420776
0.8,0.2,1.719,1.13,0.75,0.001,4,11.515995264053345
0.8,0.25,1.719,1.13,0.75,0.001,4,10.634177446365356
0.8,0.3,1.719,1.13,0.75,0.001,4,10.736693143844604
