up_threshold,sharpe_ratio,total_pnl,hit_rate,trading_frequency,total_trades,runtime_seconds
0.00,0.829,221.31,0.572,0.815,5875,12.799334526062012
0.05,0.664,146.4,0.543,0.584,4208,12.827836751937866
0.10,0.675,82.28,0.548,0.187,1346,12.189282417297363
0.15,0.963,62.11,0.599,0.075,541,12.030955076217651
0.20,1.043,41.08,0.582,0.034,244,12.519607782363892
0.25,0.995,39.22,0.529,0.031,225,11.962412595748901
0.30,0.727,2.37,0.293,0.006,41,11.722629070281982
0.35,0.727,2.37,0.293,0.006,41,10.927406072616577
0.40,0.727,2.37,0.293,0.006,41,11.102249383926392
0.45,0.727,2.37,0.293,0.006,41,11.244071245193481
0.50,0.727,2.37,0.293,0.006,41,11.216853857040405
